Series,Variable,Model,Scenarios,Unit,2020,2025,2030,2035,2040,2045,2050
Emissions and CCS,Energy and industrial processes CO2 emissions,REMIND-MAgPIE,Current Policies (Hot house world scenario),Mt CO2/yr,28.654,26.858,27.834,29.871,32.544,34.889,36.968
Emissions and CCS,Energy and industrial processes CO2 emissions,REMIND-MAgPIE,Delayed Transition (Disorderly scenario),Mt CO2/yr,28.415,26.437,27.271,27.346,24.704,19.004,20.826
Emissions and CCS,Energy and industrial processes CO2 emissions,REMIND-MAgPIE,Fragmented World,Mt CO2/yr,28.438,26.334,27.068,28.703,29.679,30.15,31.021
Emissions and CCS,Energy and industrial processes CO2 emissions,REMIND-MAgPIE,Low Demand,Mt CO2/yr,28.295,25.855,23.169,20.893,18.397,14.075,11.017
Emissions and CCS,Energy and industrial processes CO2 emissions,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),Mt CO2/yr,28.714,26.546,27.271,28.847,30.17,31.315,32.773
Emissions and CCS,Energy and industrial processes CO2 emissions,REMIND-MAgPIE,Net Zero 2050 (Orderly scenario),Mt CO2/yr,27.981,24.624,21.08,17.247,14.899,10.13,5.81
Emissions and CCS,Fossil energy CCS,GCAM,Below 2°C,Mt CO2/yr,0.003,0.026,0.512,1.753,3.552,5.616,7.937
Emissions and CCS,Fossil energy CCS,GCAM,Current Policies (Hot house world scenario),Mt CO2/yr,0.008,0.075,0.49,1.128,1.979,2.535,2.762
Emissions and CCS,Fossil energy CCS,GCAM,Delayed Transition (Disorderly scenario),Mt CO2/yr,0.006,0.06,0.39,0.884,2.525,5.015,8.451
Emissions and CCS,Fossil energy CCS,GCAM,Fragmented World,Mt CO2/yr,0.005,0.052,0.335,0.769,2.078,3.84,6.282
Emissions and CCS,Fossil energy CCS,GCAM,Low Demand,Mt CO2/yr,0.003,0.021,0.565,2.374,5.543,8.893,9.09
Emissions and CCS,Fossil energy CCS,GCAM,Nationally Determined Contributions (NDCs),Mt CO2/yr,0.005,0.043,0.282,1.086,1.922,2.475,2.787
Emissions and CCS,Fossil energy CCS,GCAM,Net Zero 2050 (Orderly scenario),Mt CO2/yr,0.003,0.033,0.994,3.483,6.775,9.33,9.342
Emissions and CCS,Fossil energy CCS,MESSAGEix-GLOBIOM,Below 2°C,Mt CO2/yr,0,0,0.06,0.185,0.452,0.885,1.713
Emissions and CCS,Fossil energy CCS,MESSAGEix-GLOBIOM,Current Policies (Hot house world scenario),Mt CO2/yr,0,0,0,0,0,0,0
Emissions and CCS,Fossil energy CCS,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),Mt CO2/yr,0,0,0,0.148,0.407,0.9,1.566
Emissions and CCS,Fossil energy CCS,MESSAGEix-GLOBIOM,Fragmented World,Mt CO2/yr,0,0,0,0,0.012,0.012,0.012
Emissions and CCS,Fossil energy CCS,MESSAGEix-GLOBIOM,Low Demand,Mt CO2/yr,0,0,0.202,0.587,1.137,1.844,2.57
Emissions and CCS,Fossil energy CCS,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),Mt CO2/yr,0,0,0,0,0,0,0
Emissions and CCS,Fossil energy CCS,MESSAGEix-GLOBIOM,Net Zero 2050 (Orderly scenario),Mt CO2/yr,0,0,0.541,0.835,0.788,1.369,2.579
Emissions and CCS,Fossil energy CCS,REMIND-MAgPIE,Below 2°C,Mt CO2/yr,0,0,0.001,0.3,3.12,25.691,20.523
Emissions and CCS,Fossil energy CCS,REMIND-MAgPIE,Current Policies (Hot house world scenario),Mt CO2/yr,0,0,0,0,0,0,0
Emissions and CCS,Fossil energy CCS,REMIND-MAgPIE,Delayed Transition (Disorderly scenario),Mt CO2/yr,0,0,0,0.007,0.743,10.578,33.952
Emissions and CCS,Fossil energy CCS,REMIND-MAgPIE,Fragmented World,Mt CO2/yr,0,0,0,0,0,0,0
